Latitude,Longitude
38.40630962,-110.79218016
38.40628919,-110.79217173
38.40628317,-110.79218049
38.40628801,-110.79219317
38.39975763,-110.79168118
38.39975503,-110.79165143
38.39974295,-110.79163123
38.39972458,-110.79165044
38.39974093,-110.79164973
38.39974024,-110.79167487
38.39975901,-110.79167379
38.3997591,-110.79168563
38.39970092,-110.79162659
38.39970639,-110.79162107
38.39972191,-110.79162321
38.39973494,-110.79162268
38.39974166,-110.79162165
38.39974455,-110.791621
38.39975665,-110.79162112
38.39976188,-110.79162266
38.39976384,-110.79162223
38.39977082,-110.79161868
38.39977586,-110.7916168
38.39977954,-110.79161716
38.39978336,-110.79161929
38.39978356,-110.79162078
38.3997853,-110.79161808
38.39978531,-110.79161566
38.39978412,-110.79161446
38.39978224,-110.7916106
38.39978107,-110.79160811
38.39978061,-110.79160689
38.39978184,-110.79160775
38.39978675,-110.79160911
38.39978996,-110.79161051
38.39979323,-110.79161239
38.3997969,-110.7916157
38.39979742,-110.79161857
38.3997977,-110.79162014
38.39979587,-110.79162111
38.39979535,-110.79162156
38.39979473,-110.79162141
38.3997937,-110.79162075
38.39979258,-110.79162132
38.3997909,-110.79162095
38.39978947,-110.79162157
38.39978838,-110.79162193
38.39978767,-110.79162379
38.3997879,-110.79162344
38.39978902,-110.79162077
38.3997899,-110.7916186
38.39979047,-110.79161834
38.39978987,-110.79161813
38.3997896,-110.79161954
38.39978916,-110.79161968
38.39978896,-110.79162032
38.39978934,-110.79162027
38.39979002,-110.79161958
38.39979108,-110.79161921
38.39979352,-110.79161883
38.39979472,-110.79161767
38.39979647,-110.79161875
38.39979769,-110.79161915
38.39979893,-110.79161899
38.39980063,-110.79161924
38.39980155,-110.7916189
38.39980132,-110.79161861
38.39980013,-110.79161847
38.39979982,-110.79161963
38.3997992,-110.79161926
38.39979897,-110.79161886
38.39979808,-110.79161881
38.39979674,-110.79161863
38.39979549,-110.79162089
38.39979564,-110.79162115
38.39979568,-110.79162084
38.39979518,-110.79162123
38.39979473,-110.79162212
38.39979414,-110.79162159
38.39979409,-110.79162075
38.39979483,-110.79162012
